period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2018-03-01,2018,Q2,10-Q,2019-03-21,7351000000,4270000000,3567000000,3309000000,2.86,2.67,1238000000,523000000,196000000,1151000000,4348000000,2261000000,7828000000,,,1514000000,41263000000,25697000000
2018-05-31,2018,Q3,10-Q,2019-06-26,7797000000,4723000000,3953000000,3823000000,3.3,3.1,1235000000,603000000,211000000,1233000000,4261000000,2411000000,6808000000,,,1454000000,41845000000,28649000000
2018-08-30,2018,Q4,10-K,2019-10-17,8440000000,5151000000,4377000000,4325000000,3.73,3.56,1229000000,567000000,215000000,1285000000,5155000000,2251000000,6506000000,296000000,,859000000,43376000000,32294000000
2018-11-29,2019,Q1,10-Q,2018-12-19,7913000000,4615000000,3759000000,3293000000,2.91,2.81,1174000000,611000000,209000000,1335000000,4810000000,2700000000,4447000000,,,398000000,44595000000,33869000000
2019-02-28,2019,Q2,10-Q,2019-03-21,5835000000,2864000000,1957000000,1619000000,1.45,1.42,1141000000,601000000,209000000,1313000000,3435000000,2649000000,6353000000,1180000000,,2634000000,47487000000,34567000000
2019-05-30,2019,Q3,10-Q,2019-06-26,4788000000,1828000000,1010000000,840000000,0.76,0.74,1129000000,606000000,206000000,1360000000,2711000000,2403000000,5157000000,1532000000,,1346000000,46288000000,35323000000
2019-08-29,2019,Q4,10-K,2019-10-17,4870000000,1395000000,650000000,561000000,0.51,0.49,1143000000,623000000,212000000,1416000000,2233000000,2028000000,7152000000,803000000,,1310000000,48887000000,35881000000
2019-11-28,2020,Q1,10-Q,2019-12-20,5144000000,1366000000,518000000,491000000,0.44,0.43,1129000000,640000000,211000000,1296000000,2011000000,1943000000,6969000000,619000000,,462000000,49649000000,36500000000
2020-02-27,2020,Q2,10-Q,2020-03-26,4797000000,1355000000,440000000,405000000,0.37,0.36,1133000000,681000000,223000000,1365000000,2001000000,2056000000,7118000000,363000000,,237000000,49648000000,37023000000
2020-05-28,2020,Q3,10-Q,2020-06-29,5438000000,1763000000,888000000,803000000,0.72,0.71,1129000000,649000000,216000000,1422000000,2023000000,1944000000,8267000000,391000000,,330000000,52005000000,37820000000
2020-09-03,2020,Q4,10-K,2020-10-19,6056000000,2068000000,1157000000,988000000,0.89,0.87,1131000000,630000000,231000000,1567000000,2271000000,2280000000,7624000000,518000000,6157000000,270000000,53678000000,38996000000
2020-12-03,2021,Q1,10-Q,2021-01-08,5773000000,1736000000,866000000,803000000,0.72,0.71,1135000000,647000000,214000000,1487000000,1967000000,2738000000,5985000000,1047000000,,273000000,53691000000,39907000000
2021-03-04,2021,Q2,10-Q,2021-04-01,6236000000,1649000000,663000000,603000000,0.54,0.53,1144000000,641000000,214000000,1549000000,3057000000,3018000000,6507000000,677000000,,323000000,54135000000,40663000000
2021-06-03,2021,Q3,10-Q,2021-07-01,7422000000,3126000000,1799000000,1735000000,1.55,1.52,1145000000,670000000,230000000,1557000000,3560000000,2259000000,7759000000,590000000,,297000000,55943000000,42259000000
2021-09-02,2021,Q4,10-K,2021-10-08,8274000000,3912000000,2955000000,2720000000,2.42,2.39,1141000000,705000000,236000000,1621000000,3884000000,2015000000,7763000000,870000000,5968000000,155000000,58849000000,43933000000
2021-12-02,2022,Q1,10-Q,2022-01-06,7687000000,3565000000,2631000000,2306000000,2.06,2.04,1130000000,712000000,259000000,1671000000,3938000000,3265000000,8680000000,900000000,6096000000,118000000,61246000000,45908000000
2022-03-03,2022,Q2,10-Q,2022-03-30,7786000000,3676000000,2546000000,2263000000,2.02,2,1130000000,792000000,263000000,1742000000,3628000000,2611000000,9116000000,1006000000,6081000000,123000000,63696000000,47845000000
2022-06-02,2022,Q3,10-Q,2022-07-01,8642000000,4035000000,3004000000,2626000000,2.36,2.34,1121000000,773000000,264000000,1821000000,3838000000,2578000000,9157000000,1070000000,6034000000,107000000,65296000000,49281000000
2022-09-01,2022,Q4,10-K,2022-10-07,6643000000,2622000000,1521000000,1492000000,1.37,1.37,1122000000,839000000,280000000,1882000000,3777000000,3613000000,8262000000,1069000000,6020000000,103000000,66283000000,49907000000
2022-12-01,2023,Q1,10-Q,2022-12-22,4085000000,893000000,-209000000,-195000000,-0.18,-0.18,1090000000,849000000,251000000,1921000000,943000000,2449000000,9574000000,1007000000,9351000000,171000000,67874000000,49306000000
2023-03-02,2023,Q2,10-Q,2023-03-29,3693000000,-1206000000,-2303000000,-2312000000,-2.12,-2.12,1091000000,788000000,231000000,1942000000,343000000,2205000000,9798000000,1020000000,11203000000,237000000,66520000000,47257000000
2023-06-01,2023,Q3,10-Q,2023-06-29,3752000000,-668000000,-1761000000,-1896000000,-1.73,-1.73,1094000000,758000000,219000000,1956000000,24000000,1561000000,9298000000,1054000000,12074000000,259000000,65680000000,45405000000
2023-08-31,2023,Q4,10-K,2023-10-06,4010000000,-435000000,-1472000000,-1430000000,-1.31,-1.31,1093000000,719000000,219000000,1937000000,249000000,1461000000,8577000000,1017000000,12049000000,278000000,64254000000,44120000000
2023-11-30,2024,Q1,10-Q,2023-12-21,4726000000,-35000000,-1128000000,-1234000000,-1.12,-1.12,1100000000,845000000,263000000,1915000000,1401000000,1796000000,8075000000,973000000,12024000000,908000000,63776000000,42885000000
2024-02-29,2024,Q2,10-Q,2024-03-21,5824000000,1079000000,191000000,793000000,0.72,0.71,1114000000,832000000,280000000,1924000000,1219000000,1384000000,8016000000,990000000,12018000000,344000000,65718000000,43870000000
2024-05-30,2024,Q3,10-Q,2024-06-27,6811000000,1832000000,719000000,332000000,0.3,0.3,1123000000,850000000,291000000,1955000000,2482000000,2086000000,7594000000,785000000,11332000000,398000000,66255000000,44225000000
2024-08-29,2024,Q4,10-K,2024-10-04,7750000000,2737000000,1522000000,887000000,0.8,0.8,1118000000,903000000,295000000,1986000000,3405000000,3120000000,7041000000,1065000000,11343000000,431000000,69416000000,45131000000
2024-11-28,2025,Q1,10-Q,2024-12-19,8709000000,3348000000,2174000000,1870000000,1.68,1.67,1122000000,888000000,288000000,2030000000,3244000000,3206000000,6693000000,895000000,11306000000,533000000,71461000000,46797000000
2025-02-27,2025,Q2,10-Q,2025-03-21,8053000000,2963000000,1773000000,1583000000,1.42,1.41,1123000000,898000000,285000000,2079000000,3942000000,4055000000,7552000000,663000000,11541000000,504000000,73053000000,48633000000
2025-05-29,2025,Q3,10-Q,2025-06-26,9301000000,3508000000,2169000000,1885000000,1.69,1.68,1125000000,965000000,318000000,2094000000,4609000000,2938000000,10163000000,648000000,12434000000,538000000,78397000000,50748000000
2025-08-28,2025,Q4,10-K,2025-10-03,11315000000,5054000000,3654000000,3201000000,2.86,2.84,1125000000,1047000000,314000000,2149000000,5730000000,5658000000,9642000000,665000000,11533000000,560000000,82798000000,54165000000
