period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2019-01-31,2019,Q3,10-K,2020-06-24,75322000,30392000,,,,,,,,,,,,,,,,
2019-04-30,2019,Q4,10-K,2021-06-29,87930000,37023000,5143000,5703000,0.23,0.23,24071713,11603000,20277000,2139000,20049000,2090000,172708000,150487000,,,508844000,462571000
2019-10-31,2020,Q1,10-K,2020-06-24,83271000,35166000,,,,,,,,,,,,,,,,
2020-01-25,2020,Q2,10-K,2021-06-29,61891000,23496000,-1108000,-1028000,-0.04,-0.04,23821145,11381000,13223000,2621000,7147000,1654000,131496000,148502000,,,559080000,490741000
2020-01-31,2020,Q3,10-K,2020-06-24,61891000,23496000,,,,,,,,,,,,,,,,
2020-04-30,2020,Q4,10-K,2022-06-29,135223000,53168000,21295000,17494000,0.74,0.73,24088167,15529000,16344000,2781000,10031000,2716000,255142000,47507000,,,584954000,509901000
2020-08-01,2021,Q1,10-Q,2021-09-09,87450000,35411000,12297000,10043000,0.42,0.42,24186228,11103000,12011000,2779000,26841000,4067000,246839000,71334000,,,577819000,519929000
2020-10-31,2021,Q2,10-Q,2021-12-08,92665000,40851000,13898000,2072000,0.09,0.09,24196912,11976000,14977000,2914000,31752000,1985000,280099000,67137000,,,588007000,523906000
2021-01-30,2021,Q3,10-Q,2022-03-04,78782000,28641000,-642000,258000,0.01,0.01,24260874,13631000,15652000,2957000,20369000,2420000,324543000,48499000,,,590992000,525190000
2021-04-30,2021,Q4,10-K,2023-06-28,136015000,59655000,17760000,10972000,0.45,0.45,24362656,17054000,24841000,10612000,7570000,2791000,148741000,31971000,187512000,10000000,928566000,612093000
2021-07-31,2022,Q1,10-Q,2022-09-08,101009000,28723000,-12113000,-13918000,-0.57,-0.57,24620180,13708000,27128000,13654000,-15304000,5428000,93924000,17953000,185141000,10000000,908553000,598240000
2021-10-30,2022,Q2,10-Q,2022-12-07,122008000,42455000,3339000,2556000,0.1,0.1,24885870,14297000,24819000,16365000,11960000,7719000,104770000,6311000,182769000,10000000,925307000,599902000
2022-01-29,2022,Q3,10-Q,2023-03-06,90093000,21436000,-14126000,-35000,0.01,0.01,24879643,13013000,22549000,17418000,-19832000,3917000,82528000,3969000,180398000,10000000,905263000,602428000
2022-04-30,2022,Q4,10-K,2024-06-27,132622000,48622000,13013000,7212000,0.29,0.29,24685534,13671000,21938000,13388000,13558000,5225000,77231000,24716000,177840000,10000000,914200000,607969000
2022-07-30,2023,Q1,10-Q,2023-09-06,108516000,33714000,-3274000,-8389000,-0.34,-0.34,24804232,15045000,21943000,14000000,15887000,5393000,93183000,12655000,175481000,10000000,896654000,599923000
2022-10-29,2023,Q2,10-Q,2023-12-06,111584000,25890000,-14314000,-6629000,-0.27,-0.27,24900873,16591000,23613000,18275000,16045000,2194000,101417000,,155622000,10000000,891682000,607483000
2023-01-28,2023,Q3,10-Q,2024-03-05,134395000,45510000,4607000,-676000,-0.03,-0.03,25012412,16157000,24746000,15834000,-23131000,2529000,78276000,,155763000,10000000,921202000,621513000
2023-04-30,2023,Q4,10-K,2025-06-25,186041000,68400000,-165682000,-160473000,-6.41,-6.41,25044881,16462000,61603000,51890000,2599000,4752000,132859000,,125904000,7500000,824577000,550970000
2023-07-29,2024,Q1,10-Q,2024-09-05,152347000,65660000,26367000,21895000,0.84,0.84,26179042,15466000,23827000,6951000,-17062000,3632000,105871000,,118537000,10000000,826060000,574545000
2023-10-28,2024,Q2,10-Q,2024-12-05,180816000,75350000,25178000,17840000,0.66,0.66,26956806,22025000,28147000,8436000,-8528000,6472000,100908000,,73678000,5000000,1006700000,793730000
2024-01-27,2024,Q3,10-Q,2025-03-05,186578000,67287000,14334000,13885000,0.5,0.5,28044127,25127000,27826000,9582000,52555000,3797000,107694000,,31292000,7500000,980299000,812985000
2024-04-30,2024,Q4,10-K,2026-06-29,196979000,75634000,5945000,6046000,0.2,0.2,27327993,35069000,34620000,10780000,-11673000,9082000,73301000,,17092000,10000000,1015860000,822745000
2024-07-27,2025,Q1,10-Q,2025-09-10,189483000,81467000,23059000,21166000,0.76,0.75,28281827,24613000,33795000,8852000,28351000,5430000,81162000,,6788000,10000000,999169000,845538000
2024-10-26,2025,Q2,10-Q,2025-12-10,188458000,73638000,7006000,7543000,0.27,0.27,28145590,28716000,37916000,9003000,-3642000,5017000,68960000,,15000000,,1019085000,858397000
2025-01-25,2025,Q3,10-Q/A,2026-06-22,167636000,63199000,-3087000,-1754000,-0.06,-0.06,28031901,22498000,43788000,9290000,-25763000,3845000,47000000,,25000000,,1048143000,861055000
2025-04-30,2025,Q4,10-K,2026-06-29,275050000,100332000,13817000,16664000,0.6,0.59,28173488,24902000,43254000,13854000,-264000,5255000,40862000,,30000000,,1120567000,886507000
2025-08-02,2026,Q1,10-Q,2026-09-10,454676000,95118000,-69272000,-67370000,-1.44,-1.44,46882350,33114000,131276000,90254000,-123726000,22728000,685803000,,725703000,,5624037000,4427079000
2025-11-01,2026,Q2,10-Q,2025-12-10,472508000,104105000,-30224000,-17103000,-0.34,-0.34,49723280,35993000,98336000,58075000,-45084000,10809000,359434000,229046000,726793000,,5638466000,4418081000
2026-01-31,2026,Q3,10-Q/A,2026-06-22,408045000,98794000,-268440000,-243823000,-4.9,-4.9,49741441,27112000,99414000,54633000,-5107000,12597000,289878000,297259000,727877000,,5364234000,4184918000
2026-04-30,2026,Q4,10-K,2026-06-29,641616000,202625000,56941000,63174000,1.33,1.33,49087346,31459000,114225000,62077000,95513000,16410000,377325000,254972000,728967000,,5716742000,4400400000
