period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2019-06-29,2019,Q2,10-Q,2019-07-31,1531000000,621000000,59000000,35000000,0.03,0.03,1109000000,373000000,189000000,52000000,30000000,58000000,963000000,,1031000000,0,5102000000,1901000000
2019-09-28,2019,Q3,10-Q,2019-10-30,1801000000,777000000,186000000,120000000,0.11,0.11,1117000000,406000000,185000000,60000000,234000000,55000000,1156000000,,872000000,0,5253000000,2176000000
2019-12-28,2019,Q4,10-K,2020-02-04,2127000000,949000000,348000000,170000000,0.15,0.15,1188000000,395000000,206000000,64000000,442000000,42000000,1466000000,37000000,486000000,0,6028000000,2827000000
2020-03-28,2020,Q1,10-Q,2020-04-29,1786000000,818000000,177000000,162000000,0.14,0.14,1224000000,442000000,199000000,68000000,-65000000,55000000,1330000000,,488000000,,5864000000,3037000000
2020-06-27,2020,Q2,10-Q,2020-07-29,1932000000,848000000,173000000,157000000,0.13,0.13,1227000000,460000000,215000000,72000000,243000000,91000000,1775000000,,490000000,200000000,6583000000,3305000000
2020-09-26,2020,Q3,10-Q,2020-10-28,2801000000,1230000000,449000000,390000000,0.33,0.32,1215000000,508000000,273000000,,339000000,74000000,1296000000,475000000,373000000,,7023000000,3867000000
2020-12-26,2020,Q4,10-K,2021-01-29,3244000000,1451000000,570000000,1781000000,1.48,1.45,1226000000,573000000,308000000,,554000000,74000000,1595000000,695000000,330000000,0,8962000000,5837000000
2021-03-27,2021,Q1,10-Q,2021-04-28,3445000000,1587000000,662000000,555000000,0.46,0.45,1231000000,610000000,319000000,,898000000,66000000,1763000000,1353000000,313000000,,10047000000,6477000000
2021-06-26,2021,Q2,10-Q,2021-07-28,3850000000,1830000000,831000000,710000000,0.58,0.58,1232000000,659000000,341000000,,952000000,64000000,2623000000,1170000000,313000000,,10691000000,7065000000
2021-09-25,2021,Q3,10-Q,2021-10-27,4313000000,2086000000,948000000,923000000,0.76,0.75,1230000000,765000000,376000000,,849000000,85000000,2440000000,1168000000,1000000,312000000,11153000000,7136000000
2021-12-25,2021,Q4,10-K,2022-02-03,4826000000,2426000000,1207000000,974000000,0.81,0.79,1229000000,811000000,412000000,,822000000,86000000,2535000000,1073000000,1000000,312000000,12419000000,7497000000
2022-03-26,2022,Q1,10-Q,2022-05-04,5887000000,2818000000,951000000,786000000,0.56,0.56,1410000000,1060000000,597000000,,995000000,71000000,4740000000,1792000000,1475000000,312000000,66915000000,55333000000
2022-06-25,2022,Q2,10-Q,2022-08-03,6550000000,3028000000,526000000,447000000,0.28,0.27,1632000000,1300000000,592000000,,1038000000,132000000,4964000000,1028000000,2465000000,312000000,67502000000,55169000000
2022-09-24,2022,Q3,10-Q,2022-11-02,5565000000,2354000000,-64000000,66000000,0.04,0.04,1625000000,1279000000,557000000,,965000000,123000000,3398000000,2193000000,2466000000,0,67811000000,54542000000
2022-12-31,2022,Q4,10-K,2023-02-27,5599000000,2403000000,-149000000,21000000,0.01,0,1571000000,1366000000,590000000,,567000000,124000000,4835000000,1020000000,2467000000,0,67580000000,54750000000
2023-04-01,2023,Q1,10-Q,2023-05-03,5353000000,2359000000,-145000000,-139000000,-0.09,-0.09,1611000000,1411000000,585000000,,486000000,158000000,3825000000,2114000000,2467000000,,67634000000,54694000000
2023-07-01,2023,Q2,10-Q,2023-08-02,5359000000,2443000000,-20000000,27000000,0.02,0.02,1627000000,1443000000,547000000,,379000000,125000000,3841000000,2444000000,1714000000,750000000,67967000000,55136000000
2023-09-30,2023,Q3,10-Q,2023-11-01,5800000000,2747000000,224000000,299000000,0.18,0.18,1629000000,1507000000,576000000,,421000000,124000000,3561000000,2224000000,1715000000,750000000,67626000000,54970000000
2023-12-30,2023,Q4,10-K,2024-01-31,6168000000,2911000000,342000000,667000000,0.41,0.42,1625000000,1511000000,644000000,,381000000,139000000,3933000000,1840000000,1717000000,751000000,67885000000,55892000000
2024-03-30,2024,Q1,10-Q,2024-05-01,5473000000,2560000000,36000000,123000000,0.08,0.07,1639000000,1525000000,620000000,,521000000,142000000,4190000000,1845000000,1718000000,750000000,67895000000,56198000000
2024-06-29,2024,Q2,10-Q,2024-07-31,5835000000,2864000000,269000000,265000000,0.16,0.16,1637000000,1583000000,650000000,,593000000,154000000,4113000000,1227000000,1719000000,0,67886000000,56538000000
2024-09-28,2024,Q3,10-Q,2024-10-30,6819000000,3419000000,724000000,771000000,0.48,0.47,1636000000,1636000000,721000000,,628000000,132000000,3897000000,647000000,1720000000,0,69636000000,56985000000
2024-12-28,2024,Q4,10-K,2025-02-05,7658000000,3882000000,871000000,482000000,0.29,0.29,1637000000,1712000000,792000000,,1299000000,208000000,3787000000,1345000000,1721000000,0,69226000000,57568000000
2025-03-29,2025,Q1,10-Q,2025-05-07,7438000000,3736000000,806000000,709000000,0.44,0.44,1626000000,1728000000,886000000,,939000000,212000000,6049000000,1261000000,3217000000,947000000,71550000000,57881000000
2025-06-28,2025,Q2,10-Q,2025-08-06,7685000000,3059000000,-134000000,872000000,0.54,0.54,1630000000,1894000000,991000000,,2011000000,282000000,4442000000,1425000000,3218000000,,74820000000,59665000000
2025-09-27,2025,Q3,10-Q,2025-11-05,9246000000,4780000000,1270000000,1243000000,0.76,0.75,1641000000,2139000000,1069000000,,2159000000,258000000,4808000000,2435000000,2347000000,873000000,76891000000,60790000000
2025-12-27,2025,Q4,10-K,2026-02-04,10270000000,5577000000,1752000000,1511000000,0.93,0.92,1636000000,2330000000,1198000000,,2600000000,222000000,5539000000,5013000000,2348000000,874000000,76926000000,62999000000
