period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2022-09-30,2022,Q3,10-Q,2022-10-27,27714000000,,5664000000,4395000000,1.64,1.64,2687000000,9170000000,3384000000,2175000000,9692000000,9375000000,14308000000,27385000000,9922000000,,178894000000,124094000000
2022-12-31,2022,Q4,10-K,2023-02-02,32165000000,,6399000000,4653000000,1.77,1.77,2702000000,9771000000,3085000000,2376000000,14511000000,9043000000,14681000000,,9923000000,,185727000000,125713000000
2023-03-31,2023,Q1,10-Q,2023-04-27,28645000000,,7227000000,5709000000,2.21,2.2,2596000000,9381000000,2885000000,2524000000,13998000000,6842000000,11551000000,,9925000000,,184491000000,124795000000
2023-06-30,2023,Q2,10-Q,2023-07-27,31999000000,,9392000000,7788000000,3.03,2.98,2612000000,9344000000,4164000000,2623000000,17309000000,6216000000,28785000000,,18382000000,,206688000000,134033000000
2023-09-30,2023,Q3,10-Q,2023-10-26,34146000000,,13748000000,11583000000,4.5,4.39,2641000000,9241000000,2070000000,2859000000,20402000000,6543000000,36890000000,,18383000000,,216274000000,142873000000
2023-12-31,2023,Q4,10-K,2024-02-02,40111000000,,16384000000,14017000000,5.46,5.31,2629000000,10517000000,2289000000,3172000000,19404000000,7665000000,41862000000,,18385000000,,229623000000,153168000000
2024-03-31,2024,Q1,10-Q,2024-04-25,36455000000,,13818000000,12369000000,4.86,4.71,2625000000,9978000000,3455000000,3374000000,19246000000,6400000000,32307000000,,18387000000,,222844000000,149529000000
2024-06-30,2024,Q2,10-Q,2024-08-01,39071000000,,14847000000,13465000000,5.31,5.16,2610000000,10537000000,3658000000,3637000000,19370000000,8173000000,32045000000,,18389000000,,230238000000,156763000000
2024-09-30,2024,Q3,10-Q,2024-10-31,40589000000,,17350000000,15688000000,6.2,6.03,2600000000,11177000000,1865000000,4027000000,24724000000,8258000000,43852000000,,28823000000,,256408000000,164529000000
2024-12-31,2024,Q4,10-K,2025-01-30,48385000000,,23364000000,20838000000,8.24,7.98,2614000000,12180000000,762000000,4460000000,27988000000,14425000000,43889000000,,28826000000,,276054000000,182637000000
2025-03-31,2025,Q1,10-Q,2025-05-01,42314000000,,17555000000,16644000000,6.59,6.43,2590000000,12150000000,2280000000,3900000000,24026000000,12941000000,28750000000,,28829000000,,280213000000,185029000000
2025-06-30,2025,Q2,10-Q,2025-07-31,47516000000,,20441000000,18337000000,7.28,7.14,2570000000,12942000000,2663000000,4342000000,25561000000,16538000000,12005000000,,28832000000,,294744000000,195070000000
2025-09-30,2025,Q3,10-Q,2025-10-30,51242000000,,20535000000,2709000000,1.08,1.05,2572000000,15144000000,3512000000,4963000000,29999000000,18829000000,10187000000,,28834000000,,303844000000,194066000000
2025-12-31,2025,Q4,10-K,2026-01-29,59893000000,,24745000000,22768000000,9.02,8.87,2574000000,17135000000,3697000000,5411000000,36214000000,21383000000,35873000000,,58744000000,,366021000000,217243000000
