period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2022-09-30,2022,Q3,10-Q,2022-11-04,4838000000,,894000000,668000000,1.53,1.51,417482511,,323000000,390000000,815000000,296000000,535000000,,,0,35175000000,5582000000
2022-12-31,2022,Q4,10-K,2023-03-01,4006000000,,-98000000,-246000000,-0.73,-0.73,422447074,,295000000,382000000,393000000,392000000,455000000,,,650000000,32787000000,4902000000
2023-03-31,2023,Q1,10-Q,2023-05-09,3107000000,,1131000000,699000000,1.72,1.71,387553379,,288000000,366000000,1435000000,484000000,518000000,,,0,31117000000,5201000000
2023-06-30,2023,Q2,10-Q,2023-08-09,3027000000,,591000000,476000000,1.18,1.17,376794258,,309000000,369000000,1577000000,442000000,643000000,,,0,30472000000,5359000000
2023-09-30,2023,Q3,10-Q,2023-11-07,4789000000,,834000000,502000000,1.27,1.25,372149099,,357000000,375000000,1560000000,336000000,3170000000,,,0,31945000000,5506000000
2023-12-31,2023,Q4,10-K,2024-02-29,2880000000,,102000000,-184000000,-0.55,-0.55,375193110,,355000000,393000000,881000000,414000000,3485000000,,14402000000,0,32966000000,5307000000
2024-03-31,2024,Q1,10-Q,2024-05-10,3159000000,,86000000,-35000000,-0.24,-0.24,348966197,,351000000,403000000,312000000,465000000,1070000000,,,500000000,38178000000,5656000000
2024-06-30,2024,Q2,10-Q,2024-08-09,3599000000,,808000000,365000000,0.92,0.9,354327393,,375000000,437000000,1196000000,498000000,1624000000,,15886000000,0,39125000000,5593000000
2024-09-30,2024,Q3,10-Q,2024-11-08,4341000000,,2588000000,1888000000,5.36,5.25,350203692,,411000000,466000000,1702000000,685000000,905000000,,14730000000,,37878000000,5441000000
2024-12-31,2024,Q4,10-K,2025-02-28,3662000000,,599000000,441000000,1.17,1.14,352567060,,464000000,537000000,1353000000,430000000,1188000000,,16298000000,1335000000,37770000000,5570000000
2025-03-31,2025,Q1,10-Q,2025-05-08,4250000000,,-120000000,-268000000,-0.93,-0.93,339799989,,391000000,522000000,599000000,768000000,561000000,,16305000000,1355000000,38228000000,4825000000
2025-06-30,2025,Q2,10-Q,2025-08-08,3753000000,,515000000,327000000,0.82,0.81,345505188,,419000000,541000000,572000000,690000000,458000000,,15770000000,861000000,38146000000,4823000000
2025-09-30,2025,Q3,10-Q,2025-11-07,4778000000,,1037000000,652000000,1.78,1.75,345035160,,444000000,460000000,1467000000,458000000,602000000,,15988000000,,38020000000,5210000000
2025-12-31,2025,Q4,10-K,2026-02-27,4805000000,,474000000,233000000,0.55,0.54,345656067,,460000000,463000000,1432000000,836000000,785000000,,17043000000,1800000000,41550000000,5097000000
