period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2022-09-30,2023,Q1,10-Q,2022-10-25,50122000000,34670000000,21518000000,17556000000,2.35,2.35,7485000000,6628000000,1398000000,,23198000000,6283000000,22884000000,84378000000,45374000000,3248000000,359784000000,173566000000
2022-12-31,2023,Q2,10-Q,2023-01-24,52747000000,35259000000,20399000000,16425000000,2.2,2.2,7473000000,6844000000,2337000000,,11173000000,6274000000,15646000000,83862000000,44119000000,3997000000,364552000000,183136000000
2023-03-31,2023,Q3,10-Q,2023-04-25,52857000000,36729000000,22352000000,18299000000,2.46,2.45,7464000000,6984000000,1643000000,,24441000000,6607000000,26562000000,77865000000,41965000000,6245000000,380088000000,194683000000
2023-06-30,2023,Q4,10-K,2023-07-27,56189000000,39394000000,24254000000,20081000000,2.7,2.69,7472000000,6739000000,2197000000,,28770000000,8943000000,34704000000,76558000000,41990000000,5247000000,411976000000,206223000000
2023-09-30,2024,Q1,10-Q,2023-10-24,56517000000,40215000000,26895000000,22291000000,3,2.99,7462000000,6659000000,1474000000,,30583000000,9917000000,80452000000,63499000000,41946000000,3748000000,445785000000,220714000000
2023-12-31,2024,Q2,10-Q,2024-01-30,62020000000,42397000000,27032000000,21870000000,2.94,2.93,7468000000,7142000000,1977000000,,18853000000,9735000000,17305000000,63712000000,44928000000,2250000000,470558000000,238268000000
2024-03-31,2024,Q3,10-Q,2024-04-25,61858000000,43353000000,27581000000,21939000000,2.95,2.94,7472000000,7653000000,1912000000,,31917000000,10952000000,19634000000,60387000000,42658000000,2249000000,484275000000,253152000000
2024-06-30,2024,Q4,10-K,2024-07-30,64727000000,45043000000,27925000000,22036000000,2.96,2.95,7469000000,8056000000,2246000000,,37195000000,13873000000,18315000000,57228000000,42688000000,2249000000,512163000000,268477000000
2024-09-30,2025,Q1,10-Q,2024-10-30,65585000000,45486000000,30552000000,24667000000,3.32,3.3,7470000000,7544000000,1673000000,,34180000000,14923000000,20840000000,57588000000,42868000000,2249000000,523013000000,287723000000
2024-12-31,2025,Q2,10-Q,2025-01-29,69632000000,47833000000,31653000000,24108000000,3.24,3.23,7468000000,7917000000,1823000000,,22291000000,15804000000,17482000000,54073000000,39722000000,5248000000,533898000000,302695000000
2025-03-31,2025,Q3,10-Q,2025-04-30,70066000000,48147000000,32000000000,25824000000,3.47,3.46,7461000000,8198000000,1737000000,,37044000000,16745000000,28828000000,50790000000,39882000000,2999000000,562624000000,321891000000
2025-06-30,2025,Q4,10-K,2025-07-30,76441000000,52427000000,34323000000,27233000000,3.67,3.65,7465000000,8829000000,1990000000,,42647000000,17079000000,30242000000,64323000000,40152000000,2999000000,619003000000,343479000000
2025-09-30,2026,Q1,10-Q,2025-10-29,77673000000,53630000000,37961000000,27747000000,3.73,3.72,7466000000,8146000000,1806000000,,45057000000,19394000000,28849000000,73163000000,35376000000,7832000000,636351000000,363076000000
2025-12-31,2026,Q2,10-Q,2026-01-28,81273000000,55295000000,38275000000,38458000000,5.18,5.16,7460000000,8504000000,1932000000,,35758000000,29876000000,24296000000,65166000000,35425000000,4837000000,665302000000,390875000000
2026-03-31,2026,Q3,10-Q,2026-04-29,82886000000,56058000000,38398000000,31778000000,4.28,4.27,7445000000,8915000000,1931000000,,46679000000,30876000000,32105000000,46167000000,31423000000,8839000000,694228000000,414367000000
2026-06-30,2026,Q4,10-K,2026-07-29,90007000000,60482000000,40603000000,35766000000,4.81,4.81,7453000000,9997000000,2287000000,,55441000000,35802000000,20935000000,55908000000,31067000000,9227000000,758376000000,442387000000
